Title,Artist,Year,Position,Genre (Broad 1),Genre (Broad 2),Genre (Specific 1),Genre (Specific 2),Genre (Specific 3),Link to Audio,Time Signature 1,Time Signature 2,Tonic 1,Tonic 2,Tonic 3,Tonic 4,Tonic 5,Tonic 6,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,BPM 1,BPM 2,BPM 3
Shape of You,Ed Sheeran,2017,1,Pop,N/A,Dancehall,Tropical house,N/A,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3?si=ff249d36b7ca47bb,4/4,,C#,,,,,,Minor,,,,,,96,,
Despacito (Remix),Luis Fonsi and Daddy Yankee feat. Justin Bieber,2017,2,Pop,N/A,Reggaeton,Latin pop,N/A,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2?si=a4f9bac39d554e8e,4/4,,B,,,,,,Minor,,,,,,89,,
That's What I Like,Bruno Mars,2017,3,Funk/Soul,R&B,N/A,N/A,N/A,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU?si=95d35983943e4a2d,4/4,,Bb,,,,,,Minor,,,,,,134,,
Humble,Kendrick Lamar,2017,4,Hip-hop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS?si=4a9ed738a27846c6,4/4,,C#,,,,,,Minor,,,,,,150,,
Something Just Like This,The Chainsmokers and Coldplay,2017,5,Pop,EDM/Dance,Electro-pop,N/A,N/A,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW?si=f118a8404aba490a,4/4,,D,,,,,,Major,,,,,,103,,
God's Plan,Drake,2018,1,Hip-hop,N/A,Pop rap,Trap,N/A,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn?si=349e45984f164205,4/4,,G,,,,,,Major,,,,,,77,,
Perfect,Ed Sheeran,2018,2,Pop,N/A,Folk pop,N/A,N/A,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v?si=9dc2ca47a2de4318,6/8,,Ab,,,,,,Major,,,,,,95,,
Meant to Be,Bebe Rexha feat. Florida Georgia Line,2018,3,Pop,Country,Country pop,N/A,N/A,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn?si=1c1fe6d5c67d48e6,4/4,,Bb,,,,,,Major,,,,,,77,,
Havana,Camila Cabello feat. Young Thug,2018,4,Pop,N/A,Latin pop,N/A,N/A,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W?si=715d12bc57ea4984,4/4,,G,,,,,,Minor,,,,,,105,,
rockstar,Post Malone feat. 21 Savage,2018,5,Hip-hop,N/A,Trap,Pop rap,N/A,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt?si=bc056e22b940474f,4/4,,G,,,,,,Minor,,,,,,80,,
Old Town Road - Remix,Lil Nas X feat. Billy Ray Cyrus,2019,1,Country,Hip-hop,Country rap,Country trap,N/A,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG?si=f95052cabb6c4d15,4/4,,G#,,,,,,Major,,,,,,136,,
Sunflower,Post Malone and Swae Lee,2019,2,Pop,R&B,Dream pop,N/A,N/A,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P?si=000968b2e76a4cbd,4/4,,D,,,,,,Major,,,,,,90,,
Without Me,Halsey,2019,3,Pop,R&B,Electro-R&B,Electropop,N/A,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ?si=5415cc6afea84e80,4/4,,Eb,,,,,,Minor,,,,,,136,,
Bad Guy,Billie Eilish,2019,4,Pop,N/A,Electropop,N/A,N/A,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m?si=3972b09bf75f41ac,4/4,,G,,,,,,Minor,,,,,,135,,
Wow,Post Malone,2019,5,Hip-hop,N/A,Pop rap,N/A,N/A,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg?si=38564df376354ae1,4/4,,B,,,,,,Minor,,,,,,100,,
Blinding Lights,The Weeknd,2020,1,Pop,N/A,Electropop,Synthwave,Synth-pop,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b?si=eb51ee7e83fb45d2,4/4,,F#,,,,,,Minor,,,,,,171,,
Circles,Post Malone,2020,2,Pop,Rock,Pop rock,Downtempo,N/A,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb?si=d38f8cc476a849ec,4/4,,C,,,,,,Major,,,,,,120,,
The Box,Roddy Ricch,2020,3,Hip-hop,N/A,Trap,N/A,N/A,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I?si=f699c54a59e04351,4/4,,Bb,,,,,,Minor,,,,,,117,,
Don't Start Now,Dua Lipa,2020,4,Pop,EDM/Dance,Nu-disco,N/A,N/A,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg?si=818769601f8545b5,4/4,,B,,,,,,Minor,,,,,,124,,
Rockstar,DaBaby feat. Roddy Ricch,2020,5,Hip-hop,N/A,Pop-rap,Trap,N/A,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4?si=2b218e7eed5c4307,4/4,,G#,,,,,,Minor,,,,,,90,,
Levitating,Dua Lipa,2021,1,Pop,EDM/Dance,Electro-disco,Nu-disco,Pop-funk,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP?si=2f63e4f4d9684cd3,4/4,,B,,,,,,Minor,,,,,,103,,
Save Your Tears,The Weeknd and Ariana Grande,2021,2,Pop,N/A,Synth-pop,N/A,N/A,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX?si=a05bbf2e72474c6f,4/4,,C,,,,,,Major,,,,,,118,,
Blinding Lights,The Weeknd,2021,3,Pop,N/A,Electropop,Synthwave,Synth-pop,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b?si=3ee7ac204bb64291,4/4,,C#,,,,,,Major,,,,,,171,,
Mood,24kGoldn feat. Iann Dior,2021,4,Hip-hop,Rock,Pop rap,Rap rock,N/A,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m?si=808fd896b9a2482c,4/4,,Bb,,,,,,Major,,,,,,91,,
Good 4 U,Olivia Rodrigo,2021,5,Rock,Pop,Pop rock,Pop punk,Emo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG?si=aeb9d975752541be,4/4,,F#,,,,,,Minor,,,,,,84,167,
Heat Waves,Glass Animals,2022,1,Pop,R&B,Pyschedelic pop,Pop rock,Pop rock,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp?si=7540c0a193c74e5c,4/4,,B,,,,,,Major,,,,,,81,,
As It Was,Harry Styles,2022,2,Pop,N/A,Synth-pop,New wave,N/A,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e?si=1c19cc9b7884431e,4/4,,A,,,,,,Major,,,,,,174,,
Stay,Kid Laroi and Justin Bieber,2022,3,Pop,Rock,Pop rap,Synth-pop,Pop rock,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20?si=e6680ad637db4e21,4/4,,A#,,,,,,Minor,,,,,,170,,
Easy On Me,Adele,2022,4,Pop,Funk/Soul,Pop-soul,N/A,N/A,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds?si=1a68f3dc5fe44f4e,4/4,,F,,,,,,Major,,,,,,71,,
Shivers,Ed Sheeran,2022,5,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5?si=f858464e207e45cf,4/4,,D,,,,,,Major,,,,,,141,,
Last Night,Morgan Wallen,2023,1,Country,Pop,Hick hop,N/A,N/A,https://open.spotify.com/track/59uQI0PADDKeE6UZDTJEe8?si=ac4c85244a7f435a,4/4,,F#,,,,,,Major,,,,,,102,,
Flowers,Miley Cyrus,2023,2,Pop,Rock,Pop-rock,Disco-pop,Nu-disco,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0?si=50ac8da94c5b4f07,4/4,,C,,,,,,Major,,,,,,118,,
Kill Bill,SZA,2023,3,Pop,R&B,Pop-soul,Pyschedelic pop,N/A,https://open.spotify.com/track/3OHfY25tqY28d16oZczHc8?si=9ea736f1531a445b,4/4,,Ab,,,,,,Major,,,,,,89,,
Anti-Hero,Taylor Swift,2023,4,Pop,N/A,Synth-pop,Pop-rock,N/A,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu?si=a6f380e21b3d4f02,4/4,,E ,,,,,,Major,,,,,,97,,
Creepin',"Metro Boomin, The Weeknd and 21 Savage",2023,5,R&B,Hip-hop,N/A,N/A,N/A,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO?si=baacac108ab844db,4/4,,C#,,,,,,Minor,,,,,,98,,
Lose Control,Teddy Swims,2024,1,Rock,Funk/Soul,N/A,N/A,N/A,https://open.spotify.com/track/6usohdchdzW9oML7VC4Uhk?si=81176968440d40b6,6/8,,F#,,,,,,Minor,,,,,,80,,
A Bar Song (Tipsy),Shaboozey,2024,2,Country,Rap,Country rap,N/A,N/A,https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf?si=1e54c7fd17d94ae4,4/4,,A,,,,,,Major,,,,,,81,,
Beautiful Things,Benson Boone,2024,3,Rock,Pop,Pop-rock,Alternative rock,N/A,https://open.spotify.com/track/6tNQ70jh4OwmPGpYy6R2o9?si=db9d255cf1f84448,4/4,6/8,Bb,,,,,,Major,,,,,,70,105,
I Had Some Help,Post Malone feat. Morgan Wallen,2024,4,Country,Pop,Country pop,N/A,N/A,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP?si=91944f605b1d47f4,4/4,,C,,,,,,Major,,,,,,128,,
Lovin' On Me,Jack Harlow,2024,5,Hip-hop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU?si=adfa8cc990614613,4/4,,Ab,,,,,,Major,,,,,,105,,
