Title,Artist,Year,Position,Genre (Broad 1),Genre (Broad 2),Genre (Specific 1),Genre (Specific 2),Genre (Specific 3),Link to Audio,Time Signature 1,Time Signature 2,Tonic 1,Tonic 2,Tonic 3,Tonic 4,Tonic 5,Tonic 6,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,BPM 1,BPM 2,BPM 3
Tossin' and Turnin',Bobby Lewis,1961,1,Rock,N/A,N/A,N/A,N/A,https://open.spotify.com/track/79s3pSe1u6ggQBEwVPm58Z?si=56235a96937d4367,4/4,,C,,,,,,Major,,,,,,142,,
I Fall to Pieces,Patsy Cline and The Jordanaires,1961,2,Country,N/A,Nashville Sound,N/A,N/A,https://open.spotify.com/track/2n435LnigjJJRGz7jb4aLv?si=8024c6952cc34512,4/4,,Bb,,,,,,Major,,,,,,112,,
Michael (Row the Boat Ashore),The Highwaymen,1961,3,Folk,N/A,N/A,N/A,N/A,https://open.spotify.com/track/25TcXSVruQ3Oox1RyqRCFf?si=e65b0e5d4eb54d33,12/8,,C,,,,,,Major,,,,,,107,,
Crying,Roy Orbison,1961,4,Country,N/A,N/A,N/A,N/A,https://open.spotify.com/track/6eLL7QTdMWdhhG4i3jHDR9?si=61bbd538121a4ede,4/4,,D,,,,,,Major,,,,,,97,,
Runaway,Del Shannon,1961,5,Rock,N/A,N/A,N/A,N/A,https://open.spotify.com/track/45Szkclj1lt4ubm7RFK68t?si=4b1e6f4b9d6843af,4/4,,Bb,Bb,,,,,Minor,Major,,,,,158,,
Stranger on the Shore,Acker Bilk,1962,1,Jazz,N/A,N/A,N/A,N/A,https://open.spotify.com/track/6sZ8qBd2dO4QQq6B6FqVPn?si=7be012a1b7094fc9,4/4,,Eb,,,,,,Major,,,,,,71,,
I Can't Stop Loving You,Ray Charles,1962,2,Funk/Soul,Country,N/A,N/A,N/A,https://open.spotify.com/track/79nJj5dMyTsUzKvN5jUXsJ?si=ccf332721c814f95,4/4,,F,,,,,,Major,,,,,,79,,
Mashed Potato Time,Dee Dee Sharp,1962,3,Funk/Soul,Pop,N/A,N/A,N/A,https://open.spotify.com/track/6jouZcdraQvsbh7SWkLEui?si=223ec2d68b264751,4/4,,D,,,,,,Major,,,,,,125,,
Roses Are Red (My Love),Bobby Vinton,1962,4,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/5zw4SajQ2IKvjnSWXOSDrh?si=b38de422dc97407c,4/4,,F,,,,,,Major,,,,,,104,,
The Stripper,David Rose,1962,5,Jazz,N/A,N/A,N/A,N/A,https://open.spotify.com/track/00vH2PsEQTGRyJYhyIyDbr?si=806322b0c4cc45cd,12/8,,C,,,,,,Major,,,,,,94,,
Surfin' USA,The Beach Boys,1963,1,Rock,N/A,Surf music,N/A,N/A,https://open.spotify.com/track/0wz1LjDb9ZNEYwOmDJ3Q4b?si=e34cc7d2630d4edf,4/4,,Eb,,,,,,Major,,,,,,159,,
